name,category,season,zone_min,zone_max,min_sun_hours,space_sqft_per_plant,base_water_inches_per_week,hot_water_inches_per_week,days_to_maturity,spring_direct_start_offset_days,spring_direct_end_offset_days,spring_transplant_start_offset_days,spring_transplant_end_offset_days,fall_direct_start_offset_days,fall_direct_end_offset_days,fall_transplant_start_offset_days,fall_transplant_end_offset_days,indoor_seed_start_offset_days,indoor_seed_end_offset_days,notes,description,optimal_sun,optimal_soil,when_to_plant,watering,harvesting,spacing,growing_from_seed,transplanting,other_care,slug
Kale,vegetable,cool,3.0,10.5,4,1.0,1.0,1.25,55,-28.0,21.0,-21.0,21.0,-84.0,-28.0,-70.0,-28.0,-42.0,-28.0,Cold tolerant and beginner-friendly.,"Kale is a hardy, cool-season green that is part of the cabbage family. It grows best in the spring and fall and can tolerate all fall frosts. Kale can be used in salads or as a garnish and is rich in minerals and vitamins A and C.",Full Sun(at least 6 hours a day),"Loamy, Neutral-Mildly Alkaline pH",You can plant kale anytime from early spring to early summer. If you plant kale late in the summer you can harvest it from fall until the ground freezes in winter.,Water the plants regularly but be sure not to overwater them.,"Kale is ready to harvest when the leaves are about the size of your hand. Pick about one fistful of leaves per harvest. Avoid picking the terminal bud (found at the top center of the plant) because this will help to keep the plant productive. The small, tender leaves can be eaten uncooked and used in salads.","After about 2 weeks, thin the seedlings so that they are spaced 8-12 inches apart.  Transplant to 8-12 inches apart.","Plant the seeds ¼ to ½ inch deep into well-drained, light soil.","Once seeds become seedlings, transplant them to their permanent place in the garden.",Mulch the soil heavily after the first hard freeze; the plants may continue to produce leaves throughout the winter.,kale
Lettuce,vegetable,cool,3.0,10.5,4,0.5,1.0,1.25,50,-42.0,21.0,-14.0,21.0,-84.0,-28.0,-56.0,-21.0,-42.0,-28.0,Fast-growing cool-season crop; good for succession planting.,"This is a half-hardy vegetable that you can keep growing all season long by planting one small crop at a time. Days to maturity tend to be short. Garden lettuce is far superior, in both taste and vitamin A content, to supermarket brands.",Part Sun,Loamy,"Lettuce is a cool-season crop that grows well in the spring and fall in most areas. Lettuce seedlings will even tolerate a light frost. 45-65°F is the ideal temperature. Start seeds indoors 4 to 6 weeks before last spring frost date for earliest crop. Direct sowing is recommended as soon as the ground can be worked. Snow won’t hurt them, but a desiccating cold wind will. Harden off seedlings for about one week, and transplant outside between 2 weeks before and 2 weeks after last spring frost.","Make sure soil remains moist but is well-drained. Lettuce will tell you when it needs water. Just look at it. If the leaves are wilting, sprinkle them anytime—even in the heat of the day—to cool them off and slow down the transpiration rate.","Lettuce should be harvested when full size, but just before maturity. You want it young and tender. Before maturity, you can harvest leaf lettuce by simply removing outer leaves so that the center leaves can continue to grow. Butterhead or romaine types can be harvested by removing the outer leaves, digging up the whole plant or cutting the plant about an inch above the soil surface. A second harvest is often possible this way. Crisphead lettuce is picked when the center is firm. It’s best to harvest in the morning before leaves have been exposed to sun.",Final spacing for Cos and loose-headed types should be 8 inches in all directions and 16 inches for firm-headed types.,Plant seeds ½ inch deep.,Leaf lettuce: Plant 4 inches apart. Cos and loose-headed types: Plant 8 inches apart. Firm-headed types: Plant 16 inches apart.,You should be able to sow additional seeds every two weeks for a continuous harvest throughout the growing season.,lettuce
Okra,vegetable,warm,6.0,10.5,8,1.5,1.25,1.75,60,14.0,70.0,14.0,56.0,-98.0,-56.0,-84.0,-56.0,-35.0,-21.0,Thrives in heat; especially useful in Arizona-like climates.,Okra is traditionally a southern U.S. plant that thrives in warm weather. It is easy to grow and use and looks great throughout the growing season due to its beautiful flowers. Okra is also rich in vitamin A and low in calories.,Full Sun(at least 6 hours a day),Loamy,"You can start okra seeds indoors in peat pots under full light 3 to 4 weeks before the last spring frost date. You can also start okra directly in your garden 3 to 4 weeks before the last spring frost date as long as you cover the plants with a cold frame or grow tunnel until the weather warms up. Make sure that the covering is 2 to 3 feet tall so that the plants have room to grow. If you do not start your okra plants early, wait until there is stable warm weather. You can plant okra in the garden when the soil has warmed to 65° to 70°F.","Keep the plants well watered throughout the summer months; 1 inch of water per week is ideal, but use more if you are in a hot, arid region.","The first harvest will be ready about 2 months after planting. Harvest the okra when its about 2 to 3 inches long. Harvest it every other day. Cut the stem just above the cap with a knife; if the stem is too hard to cut, the pod is probably too old and should be tossed. Wear gloves and long sleeves when cutting the okra because most varieties are covered with tiny spines that will irritate your skin, unless you have a spineless variety. Do not worry: this irritation will not happen when you eat them.","When the seedlings are about 3 inches tall, thin the plants so that they are 10 to 18 inches apart.","Plant okra in fertile, well-drained soil in full light about ½ to 1 inch deep and 12 to 18 inches apart. You can soak the seeds overnight in tepid water to help speed up germination.","If you are planting okra transplants, be sure to space them 1 to 2 feet apart to give them ample room to grow.","Eliminate weeds when the plants are young, then mulch heavily to prevent more weeds from growing. Apply a layer of mulch 4 to 8 inches high. After the first harvest, remove the lower leaves to help speed up production.",okra
Peas,vegetable,cool,3.0,8.5,6,0.25,1.0,1.25,65,-42.0,0.0,,,-56.0,-35.0,,,,,Classic early-spring direct-sow crop.,"Peas are a cool-season crop, now coming in three separate varieties to suit your garden and cooking needs. They are: Pisum savitum, which includes both garden peas (sweet pea, inedible pod) and snow peas (edible flat pod with small peas inside) and Pisum macrocarpon, snap peas (edible pod with full-size peas). They are easy to grow, but with a very limited growing season. Furthermore, they do not stay fresh long after harvest, so enjoy them while you can!",Full-Part Sun,"Loamy, Neutral pH","Sow seeds outdoors 4 to 6 weeks before last spring frost, when soil temperatures reach 45 degrees F. Get them in the ground while the soil is still cool but do not have them sit too long in wet soil. It’s a delicate balance of proper timing and weather conditions. A blanket of snow won’t hurt emerging pea plants, but several days with temperatures in the teens could. Be prepared to plant again. Peas are best grown in temperatures below 70 degrees F.","Water sparsely unless the plants are wilting. Do not let plants dry out, or no pods will be produced.",Keep your peas well picked to encourage more pods to develop. Pick peas in the morning after the dew has dried. They are crispiest then. Always use two hands when you pick peas. Secure the vine with one hand and pull the peas off with your other hand.,Final spacing should be 3 inches between each plant.,Plant 1 inch deep (deeper if soil is dry) and 2 inches apart.,Transplanting peas is not recommended.,"For tall and vine varieties, establish poles or a trellis at time of planting.",peas
Potatoes,vegetable,cool,3.0,9.5,6,1.0,1.0,1.25,90,-14.0,21.0,,,-100.0,-70.0,,,,,Use seed potatoes rather than true transplants.,"This half hardy vegetable is a culinary staple, and yet is overlooked by many backyard gardeners. The taste and texture of home-grown potatoes are far superior to store bought, especially the early varieties. They need a cool climate, and also need to be watched to prevent sunburn. Potatoes can be grown as a winter crop in warmer climate zones.",Full Sun(at least 6 hours a day),"Sandy, Acidic pH","Plant seed potatoes (pieces of whole potato or a small whole potato, with at least 2 eyes per piece) 0-2 weeks after last spring frost. You may start planting earlier, as soon as soil can be worked, but be aware that some crops will be ruined by a frost.","Potatoes need consistent moisture, so water regularly when tubers start to form.","Dig potatoes on a dry day. Dig up gently, being careful not to puncture the tubers. The soil should not be compact, so digging should be easy. New potatoes will be ready for harvest after 10 weeks, usually in early July. You should harvest all of your potatoes once the vines die (usually by late August), or the potatoes may rot.",Final plant spacing should be one foot apart in all directions.,"Plant seed potatoes one foot apart in a 4-inch deep trench, eye side up.",Transplanting potatoes is not recommended.,"Hilling should be done before the potato plants bloom, when the plant is about 6 inches tall. Hoe the dirt up around the base of the plant in order to cover the root as well as to support the plant. Bury them in loose soil. The idea is to keep the potato from getting sunburned, in which case they turn green and will taste bitter. You will need to hill potatoes every couple of weeks to protect your crop.",potatoes
Radishes,vegetable,cool,3.0,10.5,4,0.1,0.75,1.0,30,-28.0,21.0,,,-56.0,-14.0,,,,,Very fast crop; useful for quick wins in the MVP demo.,"Radishes are a hardy, cool-season vegetable that can produce many crops each season due to its rapid days to maturity. Radishes can be planted in both the spring and the fall, but growing should be suspended in the warmer months. They are a very easy vegetable to grow.",Full Sun(at least 6 hours a day),Any,Plant 4-6 weeks before the average date of last frost.,Radishes require well-drained soil with consistent moisture. Keep soil evenly moist but not waterlogged.,"Radishes will be ready to harvest quite rapidly, as three weeks after planting for some varieties. Pull at the base of the stem when harvesting.",Thin to about 2-inch spacings. Crowded plants will not grow well.,Direct sow seeds ½ inch to an inch deep and one inch apart in rows 12 inches apart.,Transplanting radishes is not recommended.,,radishes
Spinach,vegetable,cool,3.0,9.5,4,0.2,1.0,1.25,45,-42.0,7.0,,,-70.0,-28.0,,,,,Bolts quickly in heat; best in cool windows.,"This super-cold-hardy vegetable is a tender crop that can be planted in very early spring as well as fall and winter. Spinach has similar growing conditions and requirements as lettuce, but it is more versatile in both its nutrition and its ability to be eaten raw or cooked. It is higher in iron, calcium, and vitamins than most cultivated greens, and one of the best sources of vitamins A, B, and C.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH","Spring plantings can be made as soon as the soil can be properly worked. It’s important to seed as soon as you can to give spinach the required 6 weeks of cool weather from seeding to harvest. Soil should not be warmer than 70º F in order for germination. Successive plantings should be made every couple weeks during early spring. Common spinach cannot grow in midsummer. Plant in mid-August for a fall crop, ensuring that soil temps are cool enough.",Water regularly.,"Keep an eye on your plants. Harvest when leaves reach desired size. Harvest by pinching outer leaves at their base.  Don’t wait too long to harvest, or wait for larger leaves; bitterness will set in quickly after maturity.","When seedlings sprout to about two inches, thin them to 3-4 inches apart.","Sow seeds ½ inch to 1 inch deep, covering lightly with soil. Sow about 12 seeds per foot of row, or sprinkle over a wide row or bed.","Although seedlings can be propagated indoors, it is not recommended as seedlings are difficult to transplant.",Keep soil moist with mulching.,spinach
Summer Squash,vegetable,warm,4.0,10.5,6,4.0,1.25,1.75,50,7.0,70.0,7.0,70.0,-84.0,-42.0,-70.0,-42.0,-28.0,-14.0,Fast warm-season producer with large space needs.,"Squash is a seasonal vegetable. It is very susceptible to frost and heat damage, but with proper care it will produce a bumper crop with very few plants. There are many varieties of summer squash to choose from, including zucchini. The main difference between winter and summer varieties is their harvest time; the longer growing period gives winter squash a tougher, inedible skin",Full Sun(at least 6 hours a day),Loamy,"The soil needs to be warm (at least 60º at a two-inch depth) so we plant summer squash after our spring crops of peas, lettuce, and spinach—about one week after the last spring frost to midsummer.  In fact, waiting to plant a few seeds in midsummer will help avoid problems from vine borers and other pests and diseases common earlier in the season.","For all type of squash, frequent and consistent watering is recommended. Water most diligently when fruits form and throughout their growth period. Water deeply once a week, applying at least one inch of water. Do not water shallowly; the soil needs to be moist 4 inches down.","Harvest summer squash when small and tender for best flavor. Most varieties average 60 days to maturity, and are ready as soon as a week after flowering. Check plants everyday for new produce. Cut the squash off the vine rather than breaking them off.",Final plant spacing should be around 4-6 feet apart in all directions.,"Plant seeds about one-inch deep and 2 to 3 feet apart in a traditional garden bed. Or, you could also plant as a “hill” of 3 or 4 seeds sown close together on a small mound; this is helpful in northern climates as the soil is warmer off the ground. Allow 4 to 6 feet between hills.",Transplanting summer squash is not recommended.,"Mulch plants to protect shallow roots, discourage weeds, and retain moisture.",summer_squash
Sweet Corn,vegetable,warm,4.0,10.5,8,1.0,1.25,1.75,90,0.0,70.0,,70.0,,,,,,,Plant in blocks instead of single rows for pollination.,"Sweet corn is an annual with yellow, white, and bi-colored ears. A long, frost-free growing season is necessary after planting. Sweet corn is wind-pollinated, so it should be planted in blocks, rather than in single rows. Early, mid, and late-season varieties extend the harvest. If you miss the optimal harvest time, corn will go downhill fast as sugars convert to starch.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH","Plant seeds outdoors two weeks after the last spring frost date. Make sure soil temperature is above 60 degrees for successful germination. (Up to 65 for super sweet varieties.) In colder zones, the ground can be warmed by a black plastic cover if necessary. Plant seeds through holes.","Water well at planting time. Soil must be well drained and able to keep consistent moisture. In dry conditions, be sure to keep corn well watered due to its shallow roots. Water at a rate of 5 gallons per sq yard. Mulch helps reduce evaporation.",Harvest when tassels begin to turn brown and cobs start to swell. Kernels should be full and milky. Pull ears downward and twist to take off stalk.,"When your plants are 3 to 4 inches tall, thin them so they are 8 to 12 inches apart.",Plant seeds 1 inch deep and 4 to 6 inches apart. Space rows 30 to 36 inches apart.,Transplanting sweet corn is not recommended.,,sweet_corn
Tomatoes,vegetable,warm,3.0,10.5,8,4.0,1.5,2.0,75,,,0.0,84.0,,,-112.0,-70.0,-56.0,-42.0,Best started indoors or purchased as a transplant.,"Tomatoes are America’s favorite garden vegetable. (Yes, we technically eat the fruit of the tomato plant, but it's used as a vegetable in eating and cooking and, thus, usually categorized in vegetables.) This vine plant is fairly easy to grow and will produce a bumper crop with proper care. Its uses are versatile, however, tomatoes are susceptible to a range of pests and diseases.",Full Sun(at least 6 hours a day),"Loamy, Acidic pH","Wait 5-6 weeks after the last frost date to transplant outdoors. For optimal germination, keep the soil at around 80-85°F. For earliest crops, set plants out around the last frost date under floating row covers which will protect from frost to about 28°F. If possible, avoid setting out unprotected plants until night temperatures are over 45°F.",Make sure soil remains moist but is well-drained.,"Leave your tomatoes on the vine as long as possible. The perfect tomato for picking will be firm and very red in color, regardless of size, with perhaps some yellow remaining around the stem. A ripe tomato will be only slightly soft. Pick at the base of the stem.
","Final plant spacing should be 12 to 24 inches apart in all directions for determinate varitieties, 24-36"" apart for indeterminate, unstaked varieties, and 14-20"" for staking.","Plant in flats, using a soilless peat-based mix instead of potting soil. When the first true leaves develop, it is time to transplant.","Transplant 12-24"" apart for determinate varieties, 24-36"" apart for indeterminate, unstaked varieties, and 14-20"" for staking.",Indeterminate varieties will need trellised or caged for best growing results.,tomatoes
